Combination,accuracy,random_accuracy,correct,random_correct,total
Concreteness,0.4467771639042357,0.3178637200736648,1213,863,2715
Numeric,0.45193370165745855,0.3241252302025783,1227,880,2715
Pronoun,0.44825046040515654,0.3020257826887661,1217,820,2715
Suspense,0.44935543278084716,0.32265193370165746,1220,876,2715
Sentiment,0.44935543278084716,0.31896869244935544,1220,866,2715
Length,0.45193370165745855,0.3160220994475138,1227,858,2715
sentiment_length,0.44935543278084716,0.3116022099447514,1220,846,2715
sentiment_Concreteness_Label,0.4397790055248619,0.3060773480662983,1194,831,2715
sentiment_Numeric_Label,0.4445672191528545,0.32081031307550645,1207,871,2715
sentiment_Suspense_Label,0.43572744014732967,0.3314917127071823,1183,900,2715
sentiment_Pronoun_Label,0.43867403314917125,0.3134438305709024,1191,851,2715
length_Concreteness_Label,0.4486187845303867,0.32449355432780846,1218,881,2715
length_Numeric_Label,0.4394106813996317,0.3241252302025783,1193,880,2715
length_Suspense_Label,0.46114180478821365,0.31896869244935544,1252,866,2715
length_Pronoun_Label,0.4486187845303867,0.33480662983425413,1218,909,2715
Concreteness_Label_Numeric_Label,0.44935543278084716,0.31712707182320443,1220,861,2715
Concreteness_Label_Suspense_Label,0.456353591160221,0.31712707182320443,1239,861,2715
Concreteness_Label_Pronoun_Label,0.4445672191528545,0.3197053406998158,1207,868,2715
Numeric_Label_Suspense_Label,0.43646408839779005,0.32228360957642727,1185,875,2715
Numeric_Label_Pronoun_Label,0.44788213627992635,0.3119705340699816,1216,847,2715
Suspense_Label_Pronoun_Label,0.4394106813996317,0.32154696132596683,1193,873,2715
sentiment_length_Concreteness_Label,0.45414364640883975,0.3281767955801105,1233,891,2715
sentiment_length_Numeric_Label,0.4412523020257827,0.3174953959484346,1198,862,2715
sentiment_length_Suspense_Label,0.44604051565377534,0.3149171270718232,1211,855,2715
sentiment_length_Pronoun_Label,0.4335174953959484,0.33591160220994476,1177,912,2715
sentiment_Concreteness_Label_Numeric_Label,0.4423572744014733,0.31896869244935544,1201,866,2715
sentiment_Concreteness_Label_Suspense_Label,0.44935543278084716,0.3156537753222836,1220,857,2715
sentiment_Concreteness_Label_Pronoun_Label,0.43683241252302024,0.31896869244935544,1186,866,2715
sentiment_Numeric_Label_Suspense_Label,0.4489871086556169,0.314548802946593,1219,854,2715
sentiment_Numeric_Label_Pronoun_Label,0.452670349907919,0.3134438305709024,1229,851,2715
sentiment_Suspense_Label_Pronoun_Label,0.44419889502762433,0.3307550644567219,1206,898,2715
length_Concreteness_Label_Numeric_Label,0.450828729281768,0.3314917127071823,1224,900,2715
length_Concreteness_Label_Suspense_Label,0.44419889502762433,0.32228360957642727,1206,875,2715
length_Concreteness_Label_Pronoun_Label,0.450828729281768,0.3101289134438306,1224,842,2715
length_Numeric_Label_Suspense_Label,0.4430939226519337,0.33627992633517495,1203,913,2715
length_Numeric_Label_Pronoun_Label,0.45009208103130754,0.31712707182320443,1222,861,2715
length_Suspense_Label_Pronoun_Label,0.4419889502762431,0.3046040515653775,1200,827,2715
Concreteness_Label_Numeric_Label_Suspense_Label,0.4430939226519337,0.32081031307550645,1203,871,2715
Concreteness_Label_Numeric_Label_Pronoun_Label,0.44640883977900553,0.316390423572744,1212,859,2715
Concreteness_Label_Suspense_Label_Pronoun_Label,0.45119705340699817,0.3237569060773481,1225,879,2715
