Combination,accuracy,random_accuracy,correct,random_correct,total
Concreteness,0.45286885245901637,0.3135245901639344,221,153,488
Numeric,0.4426229508196721,0.2889344262295082,216,141,488
Pronoun,0.4651639344262295,0.29508196721311475,227,144,488
Suspense,0.4344262295081967,0.29918032786885246,212,146,488
Sentiment,0.4569672131147541,0.2930327868852459,223,143,488
Length,0.4426229508196721,0.3094262295081967,216,151,488
sentiment_length,0.45081967213114754,0.29508196721311475,220,144,488
sentiment_Concreteness_Label,0.46311475409836067,0.3176229508196721,226,155,488
sentiment_Numeric_Label,0.47540983606557374,0.32172131147540983,232,157,488
sentiment_Suspense_Label,0.39344262295081966,0.29508196721311475,192,144,488
sentiment_Pronoun_Label,0.4713114754098361,0.32581967213114754,230,159,488
length_Concreteness_Label,0.45491803278688525,0.2889344262295082,222,141,488
length_Numeric_Label,0.4262295081967213,0.29098360655737704,208,142,488
length_Suspense_Label,0.4713114754098361,0.28688524590163933,230,140,488
length_Pronoun_Label,0.45491803278688525,0.3094262295081967,222,151,488
Concreteness_Label_Numeric_Label,0.4610655737704918,0.30327868852459017,225,148,488
Concreteness_Label_Suspense_Label,0.48155737704918034,0.29508196721311475,235,144,488
Concreteness_Label_Pronoun_Label,0.4713114754098361,0.319672131147541,230,156,488
Numeric_Label_Suspense_Label,0.4180327868852459,0.27049180327868855,204,132,488
Numeric_Label_Pronoun_Label,0.4385245901639344,0.2930327868852459,214,143,488
Suspense_Label_Pronoun_Label,0.4487704918032787,0.3155737704918033,219,154,488
sentiment_length_Concreteness_Label,0.4405737704918033,0.2807377049180328,215,137,488
sentiment_length_Numeric_Label,0.46311475409836067,0.2827868852459016,226,138,488
sentiment_length_Suspense_Label,0.4774590163934426,0.3176229508196721,233,155,488
sentiment_length_Pronoun_Label,0.4344262295081967,0.319672131147541,212,156,488
sentiment_Concreteness_Label_Numeric_Label,0.4774590163934426,0.29713114754098363,233,145,488
sentiment_Concreteness_Label_Suspense_Label,0.4487704918032787,0.2766393442622951,219,135,488
sentiment_Concreteness_Label_Pronoun_Label,0.4651639344262295,0.32581967213114754,227,159,488
sentiment_Numeric_Label_Suspense_Label,0.4733606557377049,0.3073770491803279,231,150,488
sentiment_Numeric_Label_Pronoun_Label,0.4487704918032787,0.2807377049180328,219,137,488
sentiment_Suspense_Label_Pronoun_Label,0.4733606557377049,0.28688524590163933,231,140,488
length_Concreteness_Label_Numeric_Label,0.4692622950819672,0.3155737704918033,229,154,488
length_Concreteness_Label_Suspense_Label,0.46311475409836067,0.3237704918032787,226,158,488
length_Concreteness_Label_Pronoun_Label,0.4405737704918033,0.2786885245901639,215,136,488
length_Numeric_Label_Suspense_Label,0.4405737704918033,0.3114754098360656,215,152,488
length_Numeric_Label_Pronoun_Label,0.4569672131147541,0.29918032786885246,223,146,488
length_Suspense_Label_Pronoun_Label,0.4426229508196721,0.29918032786885246,216,146,488
Concreteness_Label_Numeric_Label_Suspense_Label,0.4262295081967213,0.29918032786885246,208,146,488
Concreteness_Label_Numeric_Label_Pronoun_Label,0.45081967213114754,0.3155737704918033,220,154,488
Concreteness_Label_Suspense_Label_Pronoun_Label,0.45286885245901637,0.26639344262295084,221,130,488
Numeric_Label_Suspense_Label_Pronoun_Label,0.4323770491803279,0.32991803278688525,211,161,488
sentiment_length_Concreteness_Label_Numeric_Label,0.45491803278688525,0.29713114754098363,222,145,488
sentiment_length_Concreteness_Label_Suspense_Label,0.4733606557377049,0.26434426229508196,231,129,488
sentiment_length_Concreteness_Label_Pronoun_Label,0.46311475409836067,0.2807377049180328,226,137,488
sentiment_length_Numeric_Label_Suspense_Label,0.4180327868852459,0.27459016393442626,204,134,488
sentiment_length_Numeric_Label_Pronoun_Label,0.48360655737704916,0.32786885245901637,236,160,488
sentiment_length_Suspense_Label_Pronoun_Label,0.45081967213114754,0.29918032786885246,220,146,488
sentiment_Concreteness_Label_Numeric_Label_Suspense_Label,0.45081967213114754,0.3012295081967213,220,147,488
sentiment_Concreteness_Label_Numeric_Label_Pronoun_Label,0.48360655737704916,0.3360655737704918,236,164,488
sentiment_Concreteness_Label_Suspense_Label_Pronoun_Label,0.45491803278688525,0.30327868852459017,222,148,488
sentiment_Numeric_Label_Suspense_Label_Pronoun_Label,0.4733606557377049,0.3114754098360656,231,152,488
length_Concreteness_Label_Numeric_Label_Suspense_Label,0.47540983606557374,0.2889344262295082,232,141,488
length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.45081967213114754,0.3073770491803279,220,150,488
length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4180327868852459,0.29713114754098363,204,145,488
length_Numeric_Label_Suspense_Label_Pronoun_Label,0.45081967213114754,0.2848360655737705,220,139,488
Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4426229508196721,0.2889344262295082,216,141,488
sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label,0.45491803278688525,0.319672131147541,222,156,488
sentiment_length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.4672131147540984,0.26024590163934425,228,127,488
sentiment_length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.48155737704918034,0.29713114754098363,235,145,488
sentiment_length_Numeric_Label_Suspense_Label_Pronoun_Label,0.4262295081967213,0.2827868852459016,208,138,488
sentiment_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4733606557377049,0.32172131147540983,231,157,488
length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4364754098360656,0.3442622950819672,213,168,488
sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4610655737704918,0.3012295081967213,225,147,488
