Combination,accuracy,random_accuracy,correct,random_correct,total
Concreteness,0.3779816513761468,0.28623853211009176,206,156,545
Numeric,0.3669724770642202,0.28990825688073396,200,158,545
Pronoun,0.3779816513761468,0.30275229357798167,206,165,545
Suspense,0.3706422018348624,0.28073394495412846,202,153,545
Sentiment,0.3706422018348624,0.29357798165137616,202,160,545
Length,0.3779816513761468,0.30825688073394497,206,168,545
sentiment_length,0.41284403669724773,0.29541284403669726,225,161,545
sentiment_Concreteness_Label,0.3871559633027523,0.3284403669724771,211,179,545
sentiment_Numeric_Label,0.3577981651376147,0.29724770642201837,195,162,545
sentiment_Suspense_Label,0.3853211009174312,0.30091743119266057,210,164,545
sentiment_Pronoun_Label,0.4036697247706422,0.26422018348623855,220,144,545
length_Concreteness_Label,0.41100917431192663,0.326605504587156,224,178,545
length_Numeric_Label,0.381651376146789,0.25688073394495414,208,140,545
length_Suspense_Label,0.3743119266055046,0.26605504587155965,204,145,545
length_Pronoun_Label,0.3944954128440367,0.29724770642201837,215,162,545
Concreteness_Label_Numeric_Label,0.3834862385321101,0.29724770642201837,209,162,545
Concreteness_Label_Suspense_Label,0.4055045871559633,0.29724770642201837,221,162,545
Concreteness_Label_Pronoun_Label,0.3834862385321101,0.27522935779816515,209,150,545
Numeric_Label_Suspense_Label,0.3889908256880734,0.30642201834862387,212,167,545
Numeric_Label_Pronoun_Label,0.3688073394495413,0.28073394495412846,201,153,545
Suspense_Label_Pronoun_Label,0.3834862385321101,0.26605504587155965,209,145,545
sentiment_length_Concreteness_Label,0.41284403669724773,0.27339449541284405,225,149,545
sentiment_length_Numeric_Label,0.3871559633027523,0.27522935779816515,211,150,545
sentiment_length_Suspense_Label,0.3688073394495413,0.25871559633027524,201,141,545
sentiment_length_Pronoun_Label,0.3724770642201835,0.3284403669724771,203,179,545
sentiment_Concreteness_Label_Numeric_Label,0.3798165137614679,0.30275229357798167,207,165,545
sentiment_Concreteness_Label_Suspense_Label,0.3981651376146789,0.27522935779816515,217,150,545
sentiment_Concreteness_Label_Pronoun_Label,0.4073394495412844,0.3412844036697248,222,186,545
sentiment_Numeric_Label_Suspense_Label,0.3669724770642202,0.3174311926605505,200,173,545
sentiment_Numeric_Label_Pronoun_Label,0.3963302752293578,0.27155963302752295,216,148,545
sentiment_Suspense_Label_Pronoun_Label,0.381651376146789,0.27706422018348625,208,151,545
length_Concreteness_Label_Numeric_Label,0.3944954128440367,0.26605504587155965,215,145,545
length_Concreteness_Label_Suspense_Label,0.3926605504587156,0.326605504587156,214,178,545
length_Concreteness_Label_Pronoun_Label,0.3908256880733945,0.28073394495412846,213,153,545
length_Numeric_Label_Suspense_Label,0.3871559633027523,0.3321100917431193,211,181,545
length_Numeric_Label_Pronoun_Label,0.3926605504587156,0.28807339449541286,214,157,545
length_Suspense_Label_Pronoun_Label,0.3798165137614679,0.29357798165137616,207,160,545
Concreteness_Label_Numeric_Label_Suspense_Label,0.3944954128440367,0.27339449541284405,215,149,545
Concreteness_Label_Numeric_Label_Pronoun_Label,0.3761467889908257,0.3137614678899083,205,171,545
Concreteness_Label_Suspense_Label_Pronoun_Label,0.3871559633027523,0.25321100917431194,211,138,545
Numeric_Label_Suspense_Label_Pronoun_Label,0.3981651376146789,0.28807339449541286,217,157,545
sentiment_length_Concreteness_Label_Numeric_Label,0.3908256880733945,0.30275229357798167,213,165,545
sentiment_length_Concreteness_Label_Suspense_Label,0.3871559633027523,0.28073394495412846,211,153,545
sentiment_length_Concreteness_Label_Pronoun_Label,0.3743119266055046,0.28073394495412846,204,153,545
sentiment_length_Numeric_Label_Suspense_Label,0.3926605504587156,0.27889908256880735,214,152,545
sentiment_length_Numeric_Label_Pronoun_Label,0.4,0.28990825688073396,218,158,545
sentiment_length_Suspense_Label_Pronoun_Label,0.3908256880733945,0.29357798165137616,213,160,545
sentiment_Concreteness_Label_Numeric_Label_Suspense_Label,0.3871559633027523,0.27522935779816515,211,150,545
sentiment_Concreteness_Label_Numeric_Label_Pronoun_Label,0.3798165137614679,0.29908256880733947,207,163,545
sentiment_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4091743119266055,0.27522935779816515,223,150,545
sentiment_Numeric_Label_Suspense_Label_Pronoun_Label,0.3853211009174312,0.3137614678899083,210,171,545
length_Concreteness_Label_Numeric_Label_Suspense_Label,0.3926605504587156,0.3174311926605505,214,173,545
length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.3926605504587156,0.27706422018348625,214,151,545
length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.3724770642201835,0.30825688073394497,203,168,545
length_Numeric_Label_Suspense_Label_Pronoun_Label,0.3706422018348624,0.26788990825688075,202,146,545
Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4018348623853211,0.26605504587155965,219,145,545
sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label,0.4,0.26422018348623855,218,144,545
sentiment_length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.3871559633027523,0.28256880733944956,211,154,545
sentiment_length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.3669724770642202,0.29174311926605506,200,159,545
sentiment_length_Numeric_Label_Suspense_Label_Pronoun_Label,0.4018348623853211,0.29724770642201837,219,162,545
sentiment_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4,0.30642201834862387,218,167,545
length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4,0.26422018348623855,218,144,545
sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.41100917431192663,0.29541284403669726,224,161,545
