Combination,accuracy,random_accuracy,correct,random_correct,total
Concreteness,0.41597796143250687,0.3154269972451791,302,229,726
Numeric,0.41735537190082644,0.3154269972451791,303,229,726
Pronoun,0.41597796143250687,0.3071625344352617,302,223,726
Suspense,0.4090909090909091,0.32644628099173556,297,237,726
Sentiment,0.4118457300275482,0.3209366391184573,299,233,726
Length,0.4214876033057851,0.29476584022038566,306,214,726
sentiment_length,0.41597796143250687,0.3154269972451791,302,229,726
sentiment_Concreteness_Label,0.42699724517906334,0.3140495867768595,310,228,726
sentiment_Numeric_Label,0.4035812672176309,0.32231404958677684,293,234,726
sentiment_Suspense_Label,0.4118457300275482,0.3044077134986226,299,221,726
sentiment_Pronoun_Label,0.42699724517906334,0.3168044077134986,310,230,726
length_Concreteness_Label,0.4283746556473829,0.29614325068870523,311,215,726
length_Numeric_Label,0.42699724517906334,0.2837465564738292,310,206,726
length_Suspense_Label,0.45041322314049587,0.3209366391184573,327,233,726
length_Pronoun_Label,0.4256198347107438,0.3002754820936639,309,218,726
Concreteness_Label_Numeric_Label,0.4201101928374656,0.31267217630853994,305,227,726
Concreteness_Label_Suspense_Label,0.4380165289256198,0.3002754820936639,318,218,726
Concreteness_Label_Pronoun_Label,0.4214876033057851,0.30165289256198347,306,219,726
Numeric_Label_Suspense_Label,0.4214876033057851,0.325068870523416,306,236,726
Numeric_Label_Pronoun_Label,0.4228650137741047,0.30303030303030304,307,220,726
Suspense_Label_Pronoun_Label,0.43388429752066116,0.3443526170798898,315,250,726
sentiment_length_Concreteness_Label,0.41046831955922863,0.31955922865013775,298,232,726
sentiment_length_Numeric_Label,0.43112947658402206,0.3044077134986226,313,221,726
sentiment_length_Suspense_Label,0.4022038567493113,0.325068870523416,292,236,726
sentiment_length_Pronoun_Label,0.44214876033057854,0.31267217630853994,321,227,726
sentiment_Concreteness_Label_Numeric_Label,0.42699724517906334,0.2988980716253444,310,217,726
sentiment_Concreteness_Label_Suspense_Label,0.4201101928374656,0.31267217630853994,305,227,726
sentiment_Concreteness_Label_Pronoun_Label,0.4228650137741047,0.3415977961432507,307,248,726
sentiment_Numeric_Label_Suspense_Label,0.43526170798898073,0.3140495867768595,316,228,726
sentiment_Numeric_Label_Pronoun_Label,0.42424242424242425,0.32231404958677684,308,234,726
sentiment_Suspense_Label_Pronoun_Label,0.4049586776859504,0.2837465564738292,294,206,726
length_Concreteness_Label_Numeric_Label,0.43112947658402206,0.3236914600550964,313,235,726
length_Concreteness_Label_Suspense_Label,0.4201101928374656,0.31955922865013775,305,232,726
length_Concreteness_Label_Pronoun_Label,0.4214876033057851,0.3044077134986226,306,221,726
length_Numeric_Label_Suspense_Label,0.4228650137741047,0.3319559228650138,307,241,726
length_Numeric_Label_Pronoun_Label,0.4283746556473829,0.3209366391184573,311,233,726
length_Suspense_Label_Pronoun_Label,0.41046831955922863,0.3305785123966942,298,240,726
Concreteness_Label_Numeric_Label_Suspense_Label,0.418732782369146,0.3168044077134986,304,230,726
Concreteness_Label_Numeric_Label_Pronoun_Label,0.4325068870523416,0.3236914600550964,314,235,726
Concreteness_Label_Suspense_Label_Pronoun_Label,0.4118457300275482,0.3044077134986226,299,221,726
Numeric_Label_Suspense_Label_Pronoun_Label,0.4256198347107438,0.3140495867768595,309,228,726
sentiment_length_Concreteness_Label_Numeric_Label,0.4022038567493113,0.2865013774104683,292,208,726
sentiment_length_Concreteness_Label_Suspense_Label,0.4256198347107438,0.3085399449035813,309,224,726
sentiment_length_Concreteness_Label_Pronoun_Label,0.418732782369146,0.3002754820936639,304,218,726
sentiment_length_Numeric_Label_Suspense_Label,0.42699724517906334,0.2975206611570248,310,216,726
sentiment_length_Numeric_Label_Pronoun_Label,0.42699724517906334,0.27823691460055094,310,202,726
sentiment_length_Suspense_Label_Pronoun_Label,0.43388429752066116,0.34297520661157027,315,249,726
sentiment_Concreteness_Label_Numeric_Label_Suspense_Label,0.4214876033057851,0.29201101928374656,306,212,726
sentiment_Concreteness_Label_Numeric_Label_Pronoun_Label,0.4214876033057851,0.3071625344352617,306,223,726
sentiment_Concreteness_Label_Suspense_Label_Pronoun_Label,0.43112947658402206,0.2809917355371901,313,204,726
sentiment_Numeric_Label_Suspense_Label_Pronoun_Label,0.4049586776859504,0.3085399449035813,294,224,726
length_Concreteness_Label_Numeric_Label_Suspense_Label,0.43526170798898073,0.30991735537190085,316,225,726
length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.4256198347107438,0.2975206611570248,309,216,726
length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4201101928374656,0.3305785123966942,305,240,726
length_Numeric_Label_Suspense_Label_Pronoun_Label,0.4256198347107438,0.2699724517906336,309,196,726
Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.4256198347107438,0.3140495867768595,309,228,726
sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label,0.4035812672176309,0.35399449035812675,293,257,726
sentiment_length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.4256198347107438,0.29476584022038566,309,214,726
sentiment_length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4214876033057851,0.28236914600550966,306,205,726
sentiment_length_Numeric_Label_Suspense_Label_Pronoun_Label,0.4132231404958678,0.3085399449035813,300,224,726
