Combination,accuracy,random_accuracy,correct,random_correct,total
Concreteness,0.38405797101449274,0.2916666666666667,212,161,552
Numeric,0.391304347826087,0.3170289855072464,216,175,552
Pronoun,0.3858695652173913,0.27717391304347827,213,153,552
Suspense,0.40217391304347827,0.27898550724637683,222,154,552
Sentiment,0.3858695652173913,0.3079710144927536,213,170,552
Length,0.3894927536231884,0.26268115942028986,215,145,552
sentiment_length,0.4221014492753623,0.302536231884058,233,167,552
sentiment_Concreteness_Label,0.39311594202898553,0.28442028985507245,217,157,552
sentiment_Numeric_Label,0.4076086956521739,0.29528985507246375,225,163,552
sentiment_Suspense_Label,0.3967391304347826,0.30978260869565216,219,171,552
sentiment_Pronoun_Label,0.4003623188405797,0.29891304347826086,221,165,552
length_Concreteness_Label,0.4148550724637681,0.302536231884058,229,167,552
length_Numeric_Label,0.40217391304347827,0.29528985507246375,222,163,552
length_Suspense_Label,0.40398550724637683,0.31521739130434784,223,174,552
length_Pronoun_Label,0.4057971014492754,0.3170289855072464,224,175,552
Concreteness_Label_Numeric_Label,0.40942028985507245,0.27355072463768115,226,151,552
Concreteness_Label_Suspense_Label,0.4311594202898551,0.3170289855072464,238,175,552
Concreteness_Label_Pronoun_Label,0.39311594202898553,0.29347826086956524,217,162,552
Numeric_Label_Suspense_Label,0.40398550724637683,0.29891304347826086,223,165,552
Numeric_Label_Pronoun_Label,0.3967391304347826,0.3061594202898551,219,169,552
Suspense_Label_Pronoun_Label,0.4057971014492754,0.29528985507246375,224,163,552
sentiment_length_Concreteness_Label,0.4221014492753623,0.33152173913043476,233,183,552
sentiment_length_Numeric_Label,0.4057971014492754,0.3079710144927536,224,170,552
sentiment_length_Suspense_Label,0.391304347826087,0.2916666666666667,216,161,552
sentiment_length_Pronoun_Label,0.39855072463768115,0.29891304347826086,220,165,552
sentiment_Concreteness_Label_Numeric_Label,0.4057971014492754,0.29347826086956524,224,162,552
sentiment_Concreteness_Label_Suspense_Label,0.411231884057971,0.3242753623188406,227,179,552
sentiment_Concreteness_Label_Pronoun_Label,0.3822463768115942,0.2971014492753623,211,164,552
sentiment_Numeric_Label_Suspense_Label,0.4057971014492754,0.33152173913043476,224,183,552
sentiment_Numeric_Label_Pronoun_Label,0.4057971014492754,0.2916666666666667,224,161,552
sentiment_Suspense_Label_Pronoun_Label,0.40398550724637683,0.26992753623188404,223,149,552
length_Concreteness_Label_Numeric_Label,0.40398550724637683,0.302536231884058,223,167,552
length_Concreteness_Label_Suspense_Label,0.4003623188405797,0.3007246376811594,221,166,552
length_Concreteness_Label_Pronoun_Label,0.41304347826086957,0.286231884057971,228,158,552
length_Numeric_Label_Suspense_Label,0.42028985507246375,0.35507246376811596,232,196,552
length_Numeric_Label_Pronoun_Label,0.4076086956521739,0.28804347826086957,225,159,552
length_Suspense_Label_Pronoun_Label,0.38405797101449274,0.30978260869565216,212,171,552
Concreteness_Label_Numeric_Label_Suspense_Label,0.40398550724637683,0.3115942028985507,223,172,552
Concreteness_Label_Numeric_Label_Pronoun_Label,0.4057971014492754,0.29347826086956524,224,162,552
Concreteness_Label_Suspense_Label_Pronoun_Label,0.3858695652173913,0.27355072463768115,213,151,552
