test_id,headline,CTR,pred_CTR_1,pred_CTR_2,pred_CTR_3,pred_CTR_4,pred_CTR_5,pred_CTR_6,pred_CTR_7,pred_CTR_8,pred_CTR_9,pred_CTR_10,pred_CTR_11,pred_CTR_12,pred_CTR_13,pred_CTR_14,pred_CTR_15,pred_CTR_16,pred_CTR_17,pred_CTR_18,pred_CTR_19,pred_CTR_20,pred_CTR_21,pred_CTR_22,pred_CTR_23,pred_CTR_24,pred_CTR_25,pred_CTR_26,pred_CTR_27,pred_CTR_28,pred_CTR_29,pred_CTR_30,pred_CTR_31,pred_CTR_32,pred_CTR_33,pred_CTR_34,pred_CTR_35,pred_CTR_36,pred_CTR_37,pred_CTR_38,pred_CTR_39,pred_CTR_40,pred_CTR_41,pred_CTR_42,pred_CTR_43,pred_CTR_44,pred_CTR_45,pred_CTR_46,pred_CTR_47,pred_CTR_48,pred_CTR_49,pred_CTR_50,pred_CTR_51,pred_CTR_52,pred_CTR_53,pred_CTR_54,pred_CTR_55,pred_CTR_56,pred_CTR_57,pred_CTR_58,pred_CTR_59,pred_CTR_60,pred_CTR_61,pred_CTR_62,pred_CTR_63
21,these models are making people get their checkbooks out,0.0177794590505012,0.009966776,0.010954324,0.009991137,-0.0019440949,0.010884235,0.009926897,0.0034198137,0.008168903,0.010637781,0.0139718205,0.01577381,0.0030504987,0.0120346695,0.013092997,0.0019501634,0.011628311,0.0150705585,0.009773479,0.006197675,0.011263978,0.012429953,0.003893396,0.0075894184,0.010877196,0.012898903,0.016390316,0.0038687177,0.01627785,0.014179494,0.0027154237,0.011656359,0.016527351,0.008477184,0.005864552,0.011542261,0.008140674,0.0019836407,0.005866278,0.014299868,0.0133244,0.011311332,0.0039946595,0.008530763,0.0007492453,0.013668891,0.015247603,0.0045042783,0.015302381,0.013466658,0.0027599465,0.011468049,0.016065512,0.009261872,0.0068291873,0.012763403,0.008821521,0.0037645875,0.007377193,0.009541238,0.013481107,0.01690152,0.0022874177,0.0021327063
21,these models look like they've been starving!,0.0219927328361063,0.017753491,0.019310739,0.018857444,0.007574305,0.01739173,0.018238246,0.014598383,0.018688237,0.019639032,0.024086447,0.02488016,0.010571225,0.017145198,0.018260252,0.00901464,0.021622822,0.021195596,0.018127194,0.01092245,0.018266525,0.021467904,0.014586661,0.017870037,0.021353692,0.020264763,0.025554068,0.011809483,0.021309434,0.020058125,0.009087741,0.021878667,0.021188091,0.016592925,0.010766725,0.016369168,0.018365903,0.008636806,0.017389953,0.022992643,0.0196281,0.018448744,0.014083182,0.018937204,0.009640537,0.022050189,0.02467874,0.011687838,0.01996866,0.018840788,0.008506967,0.020795278,0.021148277,0.016646579,0.011560969,0.01757557,0.020539215,0.014302986,0.01649739,0.01861627,0.022328304,0.026093472,0.010948833,0.012580061
21,"would you rather buy the purse, or some food for this model?",0.0191607587660471,0.013308069,0.012500562,0.013169747,0.0031360034,0.012908051,0.012165999,0.005527919,0.007289222,0.012743362,0.017172396,0.019844152,0.0045637153,0.010988829,0.014815997,0.0027851984,0.010834288,0.02029347,0.011505755,0.0058333604,0.00964709,0.015970621,0.00691578,0.008534482,0.012348125,0.013252921,0.017745025,0.0037808008,0.012442403,0.014851999,0.0020977631,0.011182781,0.020606296,0.00969728,0.006285445,0.010043222,0.011750333,0.0019915774,0.00926408,0.013873888,0.012477266,0.014326531,0.006389023,0.008427546,0.000815697,0.014399163,0.018442165,0.0051344857,0.012434287,0.01525091,0.0020684283,0.010658294,0.019893412,0.011132501,0.0065838136,0.010357052,0.011828428,0.0068222317,0.006515598,0.012515003,0.014782786,0.017925803,0.0053170454,0.004956605
21,i guess these models don't sell products quite as well,0.0239102446201949,0.015295681,0.015653886,0.015909277,0.005748477,0.015058665,0.015314739,0.007553183,0.011782246,0.012594638,0.019086953,0.020672038,0.0074718986,0.016945438,0.01733336,0.009424768,0.0143987425,0.020378146,0.013859705,0.008846941,0.0138798505,0.017627256,0.0074936817,0.012331784,0.012403376,0.016625134,0.020835862,0.007927863,0.017906124,0.017712893,0.00916972,0.016899463,0.020724349,0.013840009,0.0086948415,0.013666999,0.013527747,0.008302832,0.01013835,0.017702056,0.015978051,0.017221462,0.0066096717,0.012896871,0.002601117,0.019138515,0.020525869,0.0074186623,0.016272297,0.018075507,0.008817686,0.017111897,0.020790549,0.013390586,0.009491796,0.014459893,0.014370365,0.0063818404,0.011904349,0.011883302,0.019355956,0.020574186,0.006316334,0.006393945
43,"here's a magazine saying ""sorry we're not sorry"" for being racist",0.0109743040685224,0.01598969,0.015777033,0.016351419,0.0070491843,0.014535692,0.015765939,0.009628969,0.011213249,0.017640661,0.019931482,0.021921776,0.006360365,0.016536139,0.019197006,0.01139535,0.016114432,0.02149641,0.014729437,0.01200446,0.013523269,0.02251416,0.011184838,0.011365528,0.017501937,0.019613538,0.022350486,0.0072364546,0.019891175,0.019441066,0.011595722,0.017234799,0.021577753,0.01550774,0.011994309,0.014252748,0.01613759,0.008008812,0.013292151,0.021990886,0.01632056,0.01697907,0.009831146,0.011701363,0.008392448,0.0197793,0.021129549,0.007071616,0.01827733,0.020984128,0.012831731,0.016400062,0.021804659,0.015177901,0.01200223,0.014156491,0.017593052,0.010350322,0.010814089,0.017379466,0.020591436,0.022375505,0.005958639,0.008932986
43,in which big banks get a pass and poor people get thrown under the bus,0.0060574137476955,0.016891954,0.017317206,0.017774086,0.0044834,0.014356215,0.017708706,0.0057229605,0.01097993,0.0140128685,0.016046861,0.0169249,0.0033398774,0.013113851,0.015226105,0.0032127872,0.008416958,0.01695684,0.010697587,0.009194179,0.012543634,0.018732417,0.007424921,0.008991402,0.013510219,0.016250964,0.016198758,0.002749944,0.016548619,0.0149452165,0.0025309213,0.009138148,0.017762663,0.011023813,0.009428837,0.0125946365,0.009988442,0.005619088,0.011779388,0.016477158,0.014855823,0.014507029,0.0062933546,0.010152852,0.0055190213,0.01596326,0.016450685,0.004813051,0.016510392,0.014741704,0.003647225,0.008756075,0.017784957,0.010594196,0.010774802,0.014119759,0.011135263,0.007037019,0.008608481,0.012992895,0.017513933,0.017354801,0.002637174,0.0056788363
43,popular business magazine warns that the minorities care about fancy houses now,0.004821859094562,0.010873927,0.0104271695,0.012012178,0.0018920153,0.01250729,0.010673752,0.00520208,0.008096021,0.01135326,0.020823589,0.018930625,0.0018620901,0.015828233,0.015284672,0.0061451234,0.011465829,0.014318967,0.008906559,0.009354797,0.010265235,0.01614682,0.007340035,0.010343362,0.011499722,0.016579028,0.018696032,0.0017525367,0.015219133,0.014855402,0.0046604387,0.010029275,0.016059075,0.0107423,0.007838934,0.010990404,0.009156594,0.0062454697,0.008044851,0.016109286,0.012342265,0.012439992,0.0068473965,0.009528954,0.002772808,0.019372875,0.018258251,0.0032197498,0.016722528,0.016022887,0.0042069647,0.010920301,0.015800677,0.009607719,0.009171333,0.011528298,0.009703372,0.0077731665,0.008854371,0.010857467,0.017856667,0.01871711,0.0018249787,0.0062617073
51,should the people who serve your food be paid enough to eat?,0.0072231139646869,0.009758366,0.010434177,0.011125226,0.00085529685,0.010029716,0.010665005,0.0014207708,0.004445333,0.011276627,0.012528662,0.017474316,0.0017360747,0.0075250603,0.010439925,-0.001712054,0.009706464,0.01331608,0.007797164,0.005876626,0.005928345,0.011463497,0.0028427588,0.0048869504,0.0115683265,0.010256568,0.014467786,0.0019518808,0.011097038,0.011825472,-0.0019074474,0.009314101,0.0139722945,0.0095129395,0.006645919,0.0071679875,0.006603265,0.0036888178,0.0077480357,0.011127925,0.010768091,0.008958563,0.0016305009,0.004643933,-0.0010076147,0.011042953,0.015810285,0.0020762607,0.0109091215,0.011317423,-0.0019005053,0.008600455,0.013815757,0.0072217607,0.00716969,0.0068292506,0.007764414,0.0016114647,0.00317311,0.010096975,0.010830473,0.015274548,0.00091047585,0.00039689615
51,"money can’t buy happiness, but maybe it’ll get these workers to stop singing",0.0071542130365659,0.009920353,0.009785507,0.009662405,-0.0022962578,0.009346489,0.009012615,0.0009958334,0.0035033617,0.009547349,0.014825467,0.018385801,0.0017047282,0.012560993,0.012064863,0.0014248714,0.010628141,0.014655418,0.006524778,0.006703452,0.008378673,0.012143463,0.0017249128,0.0040051537,0.009724285,0.012535304,0.017895602,0.0026813392,0.0123943,0.013487529,0.0007441342,0.00959694,0.01593885,0.009842682,0.006710368,0.011225913,0.0054735597,0.0027414262,0.009542891,0.013417779,0.013134565,0.007242851,0.0012754798,0.0050233705,-0.001468977,0.013519043,0.017347187,0.0021641068,0.013652338,0.012231847,0.0013553351,0.009556685,0.015920566,0.0071781096,0.007436868,0.010170039,0.0058744065,0.0013468359,0.0035615442,0.008910708,0.012958892,0.01689152,0.001391124,-0.0015344862
51,"these workers just want money, and you won’t believe what they did to get some",0.011308562197092,0.016029628,0.017191134,0.015447974,0.0049816854,0.014193354,0.016963376,0.009238529,0.0106498245,0.015228059,0.025110874,0.026908837,0.0072222613,0.020888556,0.017590337,0.0096805915,0.015460938,0.02172362,0.010097582,0.011281013,0.015339442,0.017060943,0.008876379,0.01112769,0.014948685,0.020510182,0.026896466,0.00889454,0.020649014,0.018822975,0.010038607,0.0154982805,0.021955803,0.0142695485,0.012593468,0.016942937,0.012011761,0.010044161,0.015359137,0.020951757,0.017751714,0.018964833,0.008620389,0.012205485,0.0022904277,0.02263349,0.026567578,0.009785665,0.020975085,0.019762801,0.0103006195,0.015117709,0.021964338,0.010875006,0.013061352,0.016750373,0.012694951,0.008762175,0.01111877,0.014167827,0.02251549,0.02766946,0.0074525736,0.006172509
