test_id,headline,CTR,pred_CTR_1,pred_CTR_2,pred_CTR_3,pred_CTR_4,pred_CTR_5,pred_CTR_6,pred_CTR_7,pred_CTR_8,pred_CTR_9,pred_CTR_10,pred_CTR_11,pred_CTR_12,pred_CTR_13,pred_CTR_14,pred_CTR_15,pred_CTR_16,pred_CTR_17,pred_CTR_18,pred_CTR_19,pred_CTR_20,pred_CTR_21,pred_CTR_22,pred_CTR_23,pred_CTR_24,pred_CTR_25,pred_CTR_26,pred_CTR_27,pred_CTR_28,pred_CTR_29,pred_CTR_30,pred_CTR_31,pred_CTR_32,pred_CTR_33,pred_CTR_34,pred_CTR_35,pred_CTR_36,pred_CTR_37,pred_CTR_38,pred_CTR_39,pred_CTR_40,pred_CTR_41,pred_CTR_42,pred_CTR_43,pred_CTR_44,pred_CTR_45,pred_CTR_46,pred_CTR_47,pred_CTR_48,pred_CTR_49,pred_CTR_50,pred_CTR_51,pred_CTR_52,pred_CTR_53,pred_CTR_54,pred_CTR_55,pred_CTR_56,pred_CTR_57,pred_CTR_58,pred_CTR_59,pred_CTR_60,pred_CTR_61,pred_CTR_62,pred_CTR_63
34,90% of americans agree on gun control reform. so why hasn't anything happened yet?,0.008955223880597,0.00763165,0.008290993,0.0076969583,-0.0045120157,0.0064419284,0.0072295517,0.0050460426,0.0057013314,0.0066272486,0.012186833,0.016705327,-0.0014277566,0.011827279,0.012059247,0.0013944842,0.0053552575,0.010717421,0.0024046265,0.0024359496,0.006873004,0.010104543,0.007023412,0.0063201534,0.0068039745,0.010307368,0.017300896,-0.0016373899,0.012605557,0.012555938,0.00083954446,0.0057719536,0.011555107,0.004333132,0.00196487,0.008246262,0.0073212963,-0.0012919419,0.003368134,0.012494465,0.010757074,0.007107351,0.006094805,0.0072782654,-0.0036446825,0.012002835,0.01662236,-0.00046060048,0.013834953,0.012084106,0.0011899285,0.0058064573,0.011183467,0.0026235925,0.0027988823,0.008280061,0.0059789084,0.0070423144,0.0060760593,0.0067405235,0.011284955,0.016783483,-0.0009293724,0.0051507093
34,shooting victim gabby giffords can finally speak again — and it's about gun violence,0.0128108515448379,0.019622462,0.01974665,0.020719683,0.008376647,0.018404946,0.017898435,0.0077088573,0.011879968,0.016940579,0.022139776,0.02334017,0.006165562,0.017396484,0.022969548,0.008828655,0.019012462,0.019406483,0.014757411,0.011933279,0.014429893,0.023253076,0.007572131,0.012010781,0.016351955,0.021235904,0.024295717,0.006166717,0.018662123,0.01942808,0.007263705,0.017159678,0.01987405,0.017379992,0.012613519,0.017007787,0.012237648,0.008147199,0.015169697,0.021549536,0.020712636,0.017099205,0.007141241,0.012756823,0.0067011192,0.021692656,0.023592204,0.0071466677,0.019682193,0.01741459,0.008490922,0.016451135,0.020238288,0.013962404,0.011931883,0.01663547,0.011347037,0.0074175713,0.0116272615,0.016971339,0.021200236,0.023687534,0.00591328,0.0054161977
34,optimism about gun violence from the woman who knows far too much about gun violence,0.0083598726114649,0.016180882,0.018213432,0.017512674,0.006315343,0.016858537,0.01878116,0.0071559777,0.0065198485,0.016408162,0.0152233895,0.025559131,0.005147103,0.014577409,0.016300157,0.0036837608,0.016866792,0.019078676,0.012447509,0.007721347,0.01436558,0.018703032,0.009859101,0.0057832366,0.016421694,0.020176312,0.025394201,0.005768167,0.02124446,0.016863296,0.0048425794,0.016184684,0.01868509,0.016263558,0.010957564,0.013733838,0.009641638,0.007863879,0.010512897,0.022896757,0.01699026,0.0153566245,0.008620616,0.0080605745,0.008787099,0.015489945,0.024863012,0.0064377747,0.021182526,0.01698099,0.0048921537,0.015145142,0.01910968,0.011721258,0.010438722,0.014168005,0.010135602,0.009384999,0.0067528943,0.01653536,0.016943676,0.024721183,0.004182771,0.006943238
34,2 years ago gabby giffords was shot in the head. now she's got something important to say.,0.0141663639665819,0.0225317,0.022340266,0.022482606,0.012393976,0.02182005,0.021600697,0.012835461,0.014533499,0.02001129,0.023945991,0.029257044,0.012762541,0.021578077,0.024843523,0.014412228,0.027142052,0.023259602,0.015618224,0.012221008,0.018195163,0.021580055,0.014058301,0.016290393,0.020109111,0.021045674,0.029978395,0.012702741,0.023776727,0.023020625,0.013710767,0.026103396,0.023108339,0.017670901,0.015616699,0.018951204,0.017421216,0.017735008,0.019797489,0.02558195,0.02484607,0.022855207,0.013675472,0.0152432285,0.010444816,0.02424696,0.029683474,0.011083994,0.0237468,0.02262437,0.014871484,0.02560782,0.02383647,0.018311255,0.01486896,0.01893064,0.015825089,0.013500531,0.016495654,0.019148968,0.024959115,0.030370388,0.011163417,0.011789458
43,"here's a magazine saying ""sorry we're not sorry"" for being racist",0.0109743040685224,0.01598969,0.015777033,0.016351419,0.0070491843,0.014535692,0.015765939,0.009628969,0.011213249,0.017640661,0.019931482,0.021921776,0.006360365,0.016536139,0.019197006,0.01139535,0.016114432,0.02149641,0.014729437,0.01200446,0.013523269,0.02251416,0.011184838,0.011365528,0.017501937,0.019613538,0.022350486,0.0072364546,0.019891175,0.019441066,0.011595722,0.017234799,0.021577753,0.01550774,0.011994309,0.014252748,0.01613759,0.008008812,0.013292151,0.021990886,0.01632056,0.01697907,0.009831146,0.011701363,0.008392448,0.0197793,0.021129549,0.007071616,0.01827733,0.020984128,0.012831731,0.016400062,0.021804659,0.015177901,0.01200223,0.014156491,0.017593052,0.010350322,0.010814089,0.017379466,0.020591436,0.022375505,0.005958639,0.008932986
43,in which big banks get a pass and poor people get thrown under the bus,0.0060574137476955,0.016891954,0.017317206,0.017774086,0.0044834,0.014356215,0.017708706,0.0057229605,0.01097993,0.0140128685,0.016046861,0.0169249,0.0033398774,0.013113851,0.015226105,0.0032127872,0.008416958,0.01695684,0.010697587,0.009194179,0.012543634,0.018732417,0.007424921,0.008991402,0.013510219,0.016250964,0.016198758,0.002749944,0.016548619,0.0149452165,0.0025309213,0.009138148,0.017762663,0.011023813,0.009428837,0.0125946365,0.009988442,0.005619088,0.011779388,0.016477158,0.014855823,0.014507029,0.0062933546,0.010152852,0.0055190213,0.01596326,0.016450685,0.004813051,0.016510392,0.014741704,0.003647225,0.008756075,0.017784957,0.010594196,0.010774802,0.014119759,0.011135263,0.007037019,0.008608481,0.012992895,0.017513933,0.017354801,0.002637174,0.0056788363
43,popular business magazine warns that the minorities care about fancy houses now,0.004821859094562,0.010873927,0.0104271695,0.012012178,0.0018920153,0.01250729,0.010673752,0.00520208,0.008096021,0.01135326,0.020823589,0.018930625,0.0018620901,0.015828233,0.015284672,0.0061451234,0.011465829,0.014318967,0.008906559,0.009354797,0.010265235,0.01614682,0.007340035,0.010343362,0.011499722,0.016579028,0.018696032,0.0017525367,0.015219133,0.014855402,0.0046604387,0.010029275,0.016059075,0.0107423,0.007838934,0.010990404,0.009156594,0.0062454697,0.008044851,0.016109286,0.012342265,0.012439992,0.0068473965,0.009528954,0.002772808,0.019372875,0.018258251,0.0032197498,0.016722528,0.016022887,0.0042069647,0.010920301,0.015800677,0.009607719,0.009171333,0.011528298,0.009703372,0.0077731665,0.008854371,0.010857467,0.017856667,0.01871711,0.0018249787,0.0062617073
48,sean hannity thinks its waaaaay too hard to teach men not to attack women?,0.0130497825036249,0.023157977,0.023921292,0.023859428,0.015536252,0.020714127,0.021777816,0.022123815,0.020445727,0.023032261,0.028386012,0.02925282,0.011841042,0.024207368,0.027921166,0.016564526,0.028773379,0.024435483,0.019672323,0.021401476,0.020771086,0.021797786,0.021621253,0.018790334,0.023014503,0.023144647,0.030387461,0.010947935,0.024672223,0.027586106,0.016925205,0.02728698,0.02438929,0.019610088,0.019369133,0.022298295,0.019359458,0.021397471,0.022487218,0.029025903,0.02616602,0.023332223,0.020307455,0.021487786,0.010152955,0.028038492,0.029583521,0.010265786,0.026068399,0.028629633,0.016973002,0.026152402,0.024636457,0.021571567,0.021559607,0.02081234,0.01874123,0.021616347,0.02127404,0.021658067,0.027317807,0.030345123,0.009779412,0.018007379
48,sean hannity thinks telling men not to attack women is dumb?!?,0.0136752136752136,0.027738096,0.029539073,0.029031914,0.019639373,0.024897382,0.027102776,0.02505624,0.023279114,0.02478005,0.029048823,0.029933255,0.01318909,0.02551224,0.030158848,0.020434596,0.03548534,0.02968996,0.02896797,0.029992208,0.02557138,0.025828658,0.025514698,0.02085032,0.023758447,0.024742734,0.03212367,0.013122521,0.025331693,0.028228149,0.021767523,0.03242107,0.028382467,0.023270737,0.023668822,0.027060147,0.022853702,0.02248686,0.02565284,0.03188517,0.026355445,0.02242771,0.02472451,0.023744512,0.01106143,0.027786989,0.03038666,0.011132911,0.025979655,0.031546857,0.021496424,0.03091038,0.028514355,0.029612077,0.027390644,0.02495791,0.022217542,0.025506757,0.023760635,0.023277167,0.02714224,0.0314677,0.013459869,0.021728583
48,a feminist shares actual facts on fox news and confuses conservative pundits,0.0229615745079662,0.023155702,0.02441629,0.0236986,0.014568524,0.0205948,0.02434549,0.019887825,0.03051402,0.023701401,0.030529946,0.029462188,0.012339974,0.02321934,0.023945093,0.019002628,0.025921453,0.024139993,0.019042639,0.01783096,0.022636902,0.028583914,0.021547856,0.028975401,0.025621153,0.023474349,0.030093819,0.01512887,0.025402317,0.024593087,0.01868463,0.023156147,0.024330081,0.020946972,0.016305223,0.021848243,0.02221286,0.022835806,0.026280865,0.030707693,0.029991012,0.024417851,0.020922404,0.03026821,0.013853591,0.027990637,0.029722001,0.015219636,0.025214754,0.025019974,0.019006459,0.02356007,0.024054948,0.018420562,0.017549966,0.02092418,0.022034923,0.021541435,0.028198233,0.023274787,0.02786237,0.03050989,0.012941096,0.019678388
48,feminist confuses fox news host by suggesting that we teach men to not attack women,0.0244444444444444,0.02658373,0.031369355,0.02904472,0.019755129,0.027389068,0.030444967,0.023558635,0.030734219,0.025356602,0.035613317,0.034263175,0.017306278,0.027544046,0.035399538,0.028318912,0.03466248,0.029919155,0.02738912,0.029681,0.026499268,0.029276468,0.02455673,0.032393552,0.028150884,0.02596835,0.03363645,0.020100534,0.02695788,0.037135124,0.028136425,0.028606098,0.030731592,0.024629632,0.031451423,0.026051477,0.026108522,0.029761186,0.02825569,0.034247853,0.04109702,0.026804743,0.02375741,0.031553283,0.015304524,0.035250492,0.034502715,0.020666309,0.02557903,0.035809547,0.026575161,0.028833486,0.031731088,0.0304056,0.03294077,0.0254706,0.026648028,0.025314322,0.029220916,0.025233418,0.0364229,0.035362203,0.018115375,0.023026433
48,sean hannity supports a woman's right to choose some things...,0.00661084178052,0.024473708,0.024971688,0.026203835,0.012707656,0.021493616,0.021087416,0.01664873,0.022130203,0.019088581,0.022544086,0.03042182,0.006217798,0.024224298,0.022708565,0.017017651,0.023660753,0.020304142,0.015815323,0.013603951,0.017914828,0.018058177,0.017593428,0.01941199,0.01870441,0.01718428,0.031144537,0.0061899647,0.020044008,0.020935293,0.016079284,0.02176373,0.021092372,0.01681263,0.017136354,0.014622174,0.012207383,0.016840482,0.02113157,0.026847271,0.027834812,0.02155498,0.016743626,0.021864772,0.0067373347,0.021892777,0.030504726,0.006324012,0.022038462,0.026305242,0.014695736,0.02133599,0.021431869,0.016529726,0.019485371,0.017545529,0.009959184,0.017681777,0.020070488,0.01586115,0.021655161,0.031977262,0.005155787,0.015553599
55,"an 'arab' filmmaker drives his car into cardboard twin towers. trust me, you'll be on his side.",0.0189530685920577,0.016559606,0.017548956,0.015134651,0.0055734497,0.017654844,0.017773937,0.011745578,0.016444504,0.01742138,0.020656347,0.023525935,0.007407138,0.017002432,0.02055293,0.009500377,0.021122366,0.022512436,0.017394934,0.0129105495,0.015154164,0.018625436,0.012569391,0.015872966,0.016917516,0.016404347,0.02253703,0.0069806743,0.019284192,0.020346802,0.00884226,0.020201389,0.022676935,0.01621568,0.012216183,0.016290236,0.013723364,0.009951919,0.017592328,0.019202245,0.019613001,0.017544955,0.012419809,0.017351959,0.0046733804,0.020267583,0.022370063,0.009539891,0.01909022,0.020462975,0.008415671,0.019379988,0.022976972,0.018347358,0.013226317,0.016079329,0.014860071,0.012745898,0.014132756,0.015376955,0.01903343,0.02338105,0.0090693105,0.010116371
55,racists spray-paint a comedian's car. they shouldn't have done that.,0.0328237410071942,0.023674423,0.028315077,0.025781536,0.018171974,0.024501141,0.02841955,0.023367949,0.028791647,0.024947697,0.027184015,0.030565701,0.014592396,0.024610683,0.030154087,0.02310773,0.033630993,0.030743754,0.01991486,0.01798756,0.020897236,0.025152247,0.022607282,0.02817886,0.024805889,0.020883791,0.031944606,0.013039317,0.026615515,0.030462775,0.020721097,0.030624527,0.029236022,0.019378189,0.01625849,0.020475116,0.0268724,0.019093568,0.02488173,0.02856377,0.032527268,0.024578447,0.021494742,0.029137671,0.010285083,0.026788766,0.03165255,0.011499807,0.026822137,0.029015336,0.02085103,0.028393079,0.029280394,0.019438054,0.018251112,0.020140655,0.026705746,0.02312823,0.02797608,0.02288949,0.028114447,0.032656796,0.013595339,0.020908015
55,racists spray paint 'go home arab' on a car — filmmaker responds perfectly,0.0314606741573033,0.02437187,0.025293332,0.02648316,0.01138645,0.024802249,0.024728352,0.024146087,0.029031858,0.02752868,0.027474353,0.0278528,0.015419064,0.02485052,0.02806488,0.019688621,0.026315663,0.028198369,0.026598262,0.018581148,0.024477646,0.029969981,0.026430365,0.026439458,0.024674362,0.025172118,0.028209459,0.014602967,0.024428425,0.025826383,0.01859321,0.026379801,0.02882578,0.022156527,0.021457184,0.02476656,0.024264488,0.016612493,0.025298096,0.026811266,0.031960055,0.025036458,0.025127586,0.028262619,0.014868118,0.028415862,0.027244449,0.016986147,0.026308427,0.030309021,0.017889073,0.026309017,0.030033153,0.02791269,0.022301182,0.026073676,0.023407046,0.025681924,0.027016757,0.02624556,0.028855685,0.028635219,0.017571595,0.023828365
