test_id,headline,CTR,pred_CTR_1,pred_CTR_2,pred_CTR_3,pred_CTR_4,pred_CTR_5,pred_CTR_6,pred_CTR_7,pred_CTR_8,pred_CTR_9,pred_CTR_10,pred_CTR_11,pred_CTR_12,pred_CTR_13,pred_CTR_14,pred_CTR_15,pred_CTR_16,pred_CTR_17,pred_CTR_18,pred_CTR_19,pred_CTR_20,pred_CTR_21,pred_CTR_22,pred_CTR_23,pred_CTR_24,pred_CTR_25,pred_CTR_26,pred_CTR_27,pred_CTR_28,pred_CTR_29,pred_CTR_30,pred_CTR_31,pred_CTR_32,pred_CTR_33,pred_CTR_34,pred_CTR_35,pred_CTR_36,pred_CTR_37,pred_CTR_38,pred_CTR_39,pred_CTR_40,pred_CTR_41,pred_CTR_42,pred_CTR_43,pred_CTR_44,pred_CTR_45,pred_CTR_46,pred_CTR_47,pred_CTR_48,pred_CTR_49,pred_CTR_50,pred_CTR_51,pred_CTR_52,pred_CTR_53,pred_CTR_54,pred_CTR_55,pred_CTR_56,pred_CTR_57,pred_CTR_58,pred_CTR_59,pred_CTR_60,pred_CTR_61,pred_CTR_62,pred_CTR_63
1,"hey dude. if you have an older brother, there's a bigger chance you're gay.",0.0100490196078431,0.01325335,0.013917623,0.015101733,0.006248653,0.012779459,0.014245778,0.015320858,0.013527094,0.01623337,0.023024097,0.026377503,0.0066460017,0.016958784,0.020197643,0.00853296,0.016429357,0.01966332,0.014607272,0.010450563,0.013959669,0.019480428,0.016261116,0.013595369,0.01727898,0.021248285,0.026609994,0.007816816,0.020229746,0.0224731,0.0077454895,0.016660545,0.019547552,0.015454986,0.011644459,0.014562968,0.014802616,0.010456519,0.012887279,0.020211777,0.01840682,0.016842674,0.015082361,0.014677139,0.008899339,0.02224244,0.025437914,0.0070491433,0.019371731,0.020955736,0.008104684,0.01635908,0.019433642,0.015307699,0.01226452,0.014858015,0.015026905,0.016622363,0.012424424,0.016389688,0.022907667,0.026498772,0.0061948504,0.014164025
1,"here's the science, here's the gay. open your brain, they were born that way!",0.0132710739739493,0.013006747,0.014144506,0.012773214,0.0031354874,0.012895962,0.012889132,0.0040250653,0.0066917506,0.0088550765,0.014218718,0.018120356,0.0025570467,0.009359384,0.0114409365,0.00097282603,0.009843711,0.014901474,0.0067338357,0.0074719163,0.0063356273,0.013591357,0.004831778,0.0075151594,0.010041129,0.0133246295,0.016736418,0.0025357585,0.014976276,0.0113715585,0.00123314,0.009277958,0.014369626,0.009538663,0.007989063,0.007311497,0.008644408,0.0025692377,0.009549804,0.014952799,0.013552053,0.010476425,0.004187599,0.0070312577,-0.0029946417,0.013293836,0.015635196,0.003231626,0.013605626,0.012241099,0.0027186964,0.0083660185,0.014489925,0.0075807185,0.007945532,0.00689207,0.009438237,0.0051509654,0.0044884654,0.008246586,0.014135653,0.016644247,0.0021267012,0.0024222024
1,"i've got some news for you. being gay is genetic. being irrationally afraid of gay, not so much.",0.0096153846153846,0.016148807,0.015323032,0.014832389,0.006876383,0.014663262,0.015745174,0.011707947,0.010622793,0.016033815,0.022436623,0.022896785,0.0064084977,0.015789531,0.018375438,0.009141527,0.016170226,0.019230474,0.013667697,0.012113023,0.01092134,0.018612174,0.012903053,0.010585118,0.015746305,0.018980764,0.022897672,0.0069219675,0.018494343,0.01934784,0.008822054,0.017020568,0.01900598,0.014473177,0.012370703,0.0141485,0.013847686,0.0086054765,0.011704335,0.018912604,0.016166527,0.015472857,0.012196523,0.010818257,0.0063861534,0.020484088,0.022932366,0.007192135,0.017504444,0.019425848,0.01015321,0.016431488,0.019236116,0.015202592,0.01249446,0.0134324655,0.013415152,0.012547001,0.009495225,0.015172673,0.020843381,0.023037665,0.0060427133,0.010524582
1,"science fact: gay science, like straight science, is really just plain old fact science",0.0077444336882865,0.018022953,0.017583229,0.018700209,0.008088179,0.01829126,0.019644577,0.0115338825,0.0131377,0.016420634,0.021713117,0.025489714,0.0098031,0.01948244,0.019727247,0.008959927,0.025908798,0.020311568,0.016729865,0.01939328,0.015949484,0.0215608,0.013307413,0.013823623,0.017096575,0.01652857,0.024803247,0.008974072,0.019142263,0.018464556,0.008898675,0.02070032,0.020044245,0.0151443025,0.018418565,0.016640265,0.016335689,0.011358209,0.015975855,0.016840195,0.018775515,0.019114044,0.011680098,0.014277809,0.0036045797,0.02014714,0.023554679,0.010320501,0.0200482,0.01916349,0.00908673,0.019245729,0.01913052,0.018559648,0.01804771,0.016530234,0.016700022,0.011862649,0.011889611,0.01653278,0.019334394,0.024067115,0.009468878,0.011543279
1,"if you know anyone who is afraid of gay people, here's a cartoon that will ease them back to reality",0.0288808664259927,0.020042485,0.019795178,0.018948652,0.011810347,0.01918291,0.019722596,0.014871202,0.016063401,0.021193653,0.023821035,0.026959747,0.008276379,0.019883696,0.023680307,0.013100781,0.022660617,0.02517814,0.019399107,0.015246012,0.017223459,0.023252124,0.016370408,0.01719354,0.020493947,0.02247522,0.025845658,0.009280095,0.023183012,0.024071135,0.0123832,0.022266332,0.024855943,0.01763044,0.016789556,0.019560855,0.021117829,0.014851776,0.019756366,0.02118489,0.021737346,0.020545883,0.015151061,0.01671981,0.010140788,0.023088224,0.026224837,0.0102981385,0.022239145,0.024094177,0.013715638,0.0210043,0.02463594,0.019451398,0.01719833,0.018683884,0.019678509,0.016315045,0.016028374,0.021288324,0.023909548,0.027066365,0.009673465,0.013608912
21,these models are making people get their checkbooks out,0.0177794590505012,0.009966776,0.010954324,0.009991137,-0.0019440949,0.010884235,0.009926897,0.0034198137,0.008168903,0.010637781,0.0139718205,0.01577381,0.0030504987,0.0120346695,0.013092997,0.0019501634,0.011628311,0.0150705585,0.009773479,0.006197675,0.011263978,0.012429953,0.003893396,0.0075894184,0.010877196,0.012898903,0.016390316,0.0038687177,0.01627785,0.014179494,0.0027154237,0.011656359,0.016527351,0.008477184,0.005864552,0.011542261,0.008140674,0.0019836407,0.005866278,0.014299868,0.0133244,0.011311332,0.0039946595,0.008530763,0.0007492453,0.013668891,0.015247603,0.0045042783,0.015302381,0.013466658,0.0027599465,0.011468049,0.016065512,0.009261872,0.0068291873,0.012763403,0.008821521,0.0037645875,0.007377193,0.009541238,0.013481107,0.01690152,0.0022874177,0.0021327063
21,these models look like they've been starving!,0.0219927328361063,0.017753491,0.019310739,0.018857444,0.007574305,0.01739173,0.018238246,0.014598383,0.018688237,0.019639032,0.024086447,0.02488016,0.010571225,0.017145198,0.018260252,0.00901464,0.021622822,0.021195596,0.018127194,0.01092245,0.018266525,0.021467904,0.014586661,0.017870037,0.021353692,0.020264763,0.025554068,0.011809483,0.021309434,0.020058125,0.009087741,0.021878667,0.021188091,0.016592925,0.010766725,0.016369168,0.018365903,0.008636806,0.017389953,0.022992643,0.0196281,0.018448744,0.014083182,0.018937204,0.009640537,0.022050189,0.02467874,0.011687838,0.01996866,0.018840788,0.008506967,0.020795278,0.021148277,0.016646579,0.011560969,0.01757557,0.020539215,0.014302986,0.01649739,0.01861627,0.022328304,0.026093472,0.010948833,0.012580061
21,"would you rather buy the purse, or some food for this model?",0.0191607587660471,0.013308069,0.012500562,0.013169747,0.0031360034,0.012908051,0.012165999,0.005527919,0.007289222,0.012743362,0.017172396,0.019844152,0.0045637153,0.010988829,0.014815997,0.0027851984,0.010834288,0.02029347,0.011505755,0.0058333604,0.00964709,0.015970621,0.00691578,0.008534482,0.012348125,0.013252921,0.017745025,0.0037808008,0.012442403,0.014851999,0.0020977631,0.011182781,0.020606296,0.00969728,0.006285445,0.010043222,0.011750333,0.0019915774,0.00926408,0.013873888,0.012477266,0.014326531,0.006389023,0.008427546,0.000815697,0.014399163,0.018442165,0.0051344857,0.012434287,0.01525091,0.0020684283,0.010658294,0.019893412,0.011132501,0.0065838136,0.010357052,0.011828428,0.0068222317,0.006515598,0.012515003,0.014782786,0.017925803,0.0053170454,0.004956605
21,i guess these models don't sell products quite as well,0.0239102446201949,0.015295681,0.015653886,0.015909277,0.005748477,0.015058665,0.015314739,0.007553183,0.011782246,0.012594638,0.019086953,0.020672038,0.0074718986,0.016945438,0.01733336,0.009424768,0.0143987425,0.020378146,0.013859705,0.008846941,0.0138798505,0.017627256,0.0074936817,0.012331784,0.012403376,0.016625134,0.020835862,0.007927863,0.017906124,0.017712893,0.00916972,0.016899463,0.020724349,0.013840009,0.0086948415,0.013666999,0.013527747,0.008302832,0.01013835,0.017702056,0.015978051,0.017221462,0.0066096717,0.012896871,0.002601117,0.019138515,0.020525869,0.0074186623,0.016272297,0.018075507,0.008817686,0.017111897,0.020790549,0.013390586,0.009491796,0.014459893,0.014370365,0.0063818404,0.011904349,0.011883302,0.019355956,0.020574186,0.006316334,0.006393945
102,what are the odds of another asteroid hitting the earth?,0.0041279669762641,0.009422632,0.009734958,0.009533536,-0.0005836971,0.00878603,0.009703513,0.0033057835,0.0010831086,0.011825526,0.0147824995,0.015315228,0.00081539527,0.010304105,0.013490088,-0.0054613706,0.008149877,0.013663495,0.0070643313,0.0066973222,0.007554006,0.013544343,0.0050110873,0.0005206736,0.0120934285,0.01322446,0.013797828,0.0017609429,0.012524119,0.012129407,-0.0047137924,0.007740427,0.014781988,0.009181963,0.00713678,0.0065952875,0.0076961312,0.0008212235,0.0061696414,0.014102681,0.0100834165,0.004482517,0.004762212,0.0014945613,-0.00075481087,0.013607834,0.014422533,0.0013351254,0.013792669,0.011505187,-0.005176984,0.0075256936,0.014666067,0.0068303435,0.007934917,0.00786943,0.007573098,0.004455059,-4.2402185e-05,0.011429695,0.013488313,0.014517403,-0.00017695129,0.002807863
